Chamber,Center,Linear Intensity,Normalized Intensity,Unnormalized Intensity,Background Intensity,Equation = y = 481.5204886366311 + 0.7869117852583606x,R Squared = 0.9306795424152372
1,"(225, 400)",482.3074004218895,513.0359721903893,500.9753086419753,609,,
2,"(275, 400)",483.0943122071478,517.404166772507,506.4567901234568,611,,
3,"(326, 401)",483.8812239924062,524.7443682579604,512.8148148148148,610,,
4,"(377, 401)",484.66813577766453,518.5226371495769,509.51851851851853,614,,
5,"(427, 402)",485.4550475629229,493.0602683703719,489.7654320987654,622,,
6,"(478, 402)",486.2419593481813,487.2760330278275,482.8641975308642,620,,
7,"(529, 403)",487.0288711334396,519.1325098061976,516.1604938271605,623,,
8,"(579, 403)",487.815782918698,518.3957325675048,515.4320987654321,623,,
9,"(630, 404)",488.60269470395633,497.4516608458818,495.34567901234567,624,,
10,"(681, 404)",489.3896064892147,502.2499206516632,500.74074074074076,625,,
11,"(731, 405)",490.1765182744731,501.0144018039428,500.14814814814815,626,,
12,"(782, 405)",490.9634300597314,504.2478217210551,503.3703703703704,626,,
13,"(833, 406)",491.7503418449898,507.05106311238296,503.5679012345679,622,,
14,"(883, 406)",492.5372536302482,518.6681486326603,515.0246913580247,622,,
15,"(934, 407)",493.3241654155065,518.9811587899967,515.3333333333334,622,,
16,"(985, 407)",494.1110772007649,512.1558881362954,505.9753086419753,618,,
17,"(1035, 408)",494.8979889860232,528.0952242755003,515.3333333333334,609,,
18,"(1086, 408)",495.6849007712816,518.9301145393758,511.24691358024694,616,,
19,"(1137, 409)",496.47181255654,521.709132334644,509.24691358024694,609,,
20,"(1188, 410)",497.2587243417983,521.7997821506779,509.3333333333333,609,,
21,"(1193, 448)",498.0456361270567,495.05741620166964,482.60493827160496,607,,
22,"(1142, 447)",498.832547912315,513.2288143023467,503.75308641975306,613,,
23,"(1091, 446)",499.6194596975734,502.54566854834644,495.3333333333333,616,,
24,"(1040, 445)",500.4063714828318,497.68702937286173,493.08641975308643,620,,
25,"(990, 445)",501.1932832680901,510.66355934028036,504.51851851851853,618,,
26,"(939, 444)",501.9801950533485,509.3001153705424,510.38271604938274,629,,
27,"(888, 443)",502.7671068386069,512.7573744026545,513.1851851851852,628,,
28,"(837, 442)",503.5540186238652,517.0464776012217,517.4814814814815,628,,
29,"(787, 442)",504.3409304091236,506.737910292666,511.0987654320988,634,,
30,"(736, 441)",505.1278421943819,508.61120290451015,511.01234567901236,631,,
31,"(685, 440)",505.9147539796403,505.11136187785416,506.82716049382714,630,,
32,"(634, 439)",506.7016657648987,511.03262051391465,513.4567901234568,631,,
33,"(584, 439)",507.488577550157,506.9968634500167,509.38271604938274,631,,
34,"(533, 438)",508.2754893354154,501.6338253384411,500.7654320987654,626,,
35,"(482, 437)",509.0624011206737,503.82155013235894,504.2345679012346,628,,
36,"(431, 436)",509.8493129059321,509.166406047478,505.65432098765433,622,,
38,"(330, 435)",511.4231364764488,518.7775141899782,511.0987654320988,616,,
39,"(279, 434)",512.2100482617071,522.140296454097,511.6666666666667,612,,
40,"(229, 434)",512.9969600469656,520.6990829449275,508.28395061728395,609,,
41,"(225, 476)",513.7838718322239,494.4997755554146,485.69135802469134,613,,
42,"(275, 477)",514.5707836174822,502.5661405387979,494.0987654320988,614,,
43,"(326, 477)",515.3576954027407,499.82975792059096,496.44444444444446,622,,
44,"(377, 478)",516.144607187999,498.366144755783,493.75308641975306,620,,
45,"(427, 478)",516.9315189732573,500.7182661881246,497.320987654321,622,,
46,"(478, 479)",517.7184307585158,510.7148772849986,509.81481481481484,626,,
47,"(529, 479)",518.5053425437741,504.92994846289093,507.2962962962963,631,,
48,"(579, 480)",519.2922543290324,512.3254914155035,511.41975308641975,626,,
49,"(630, 480)",520.0791661142907,516.1410105990079,520.6666666666666,634,,
