Chamber,Center,Normalized Intensity,Unnormalized Intensity,Background Intensity
1,"(225, 400)",515.6365982789727,500.9753086419753,609
2,"(275, 400)",519.6639328906397,506.4567901234568,611
3,"(326, 401)",527.0051763061199,512.8148148148148,610
4,"(377, 401)",520.369014896049,509.51851851851853,614
5,"(427, 402)",493.94986004452124,489.7654320987654,622
6,"(478, 402)",488.5290159665745,482.8641975308642,620
7,"(529, 403)",519.7476842012462,516.1604938271605,623
8,"(579, 403)",519.0142269703182,515.4320987654321,623
9,"(630, 404)",497.9986398027713,495.34567901234567,624
10,"(681, 404)",502.6244249860674,500.74074074074076,625
11,"(731, 405)",501.2323764723663,500.14814814814815,626
12,"(782, 405)",504.4615838741062,503.3703703703704,626
13,"(833, 406)",507.8702538719966,503.5679012345679,622
14,"(883, 406)",519.4249278182374,515.0246913580247,622
15,"(934, 407)",519.7362067499788,515.3333333333334,622
16,"(985, 407)",513.524289910926,505.9753086419753,618
17,"(1035, 408)",530.414817648559,515.3333333333334,609
18,"(1086, 408)",520.5043812834343,511.24691358024694,616
19,"(1137, 409)",524.1502758177714,509.24691358024694,609
20,"(1188, 410)",524.2392246875797,509.3333333333333,609
21,"(1193, 448)",498.26713628105705,482.60493827160496,607
22,"(1142, 447)",515.2837774440255,503.75308641975306,613
23,"(1091, 446)",504.3026438833631,495.3333333333333,616
24,"(1040, 445)",498.87116224445145,493.08641975308643,620
25,"(990, 445)",512.0457649692539,504.51851851851853,618
26,"(939, 444)",509.0485097653975,510.38271604938274,629
27,"(888, 443)",512.6616603852003,513.1851851851852,628
28,"(837, 442)",516.95357382376,517.4814814814815,628
29,"(787, 442)",505.68927837128984,511.0987654320988,634
30,"(736, 441)",508.0474053923004,511.01234567901236,631
31,"(685, 440)",504.6943759622923,506.82716049382714,630
32,"(634, 439)",510.47766694689244,513.4567901234568,631
33,"(584, 439)",506.4272310225723,509.38271604938274,631
34,"(533, 438)",501.85099857997926,500.7654320987654,626
35,"(482, 437)",503.7201740548676,504.2345679012346,628
36,"(431, 436)",509.9744994505685,505.65432098765433,622
38,"(330, 435)",520.3535505240853,511.0987654320988,616
39,"(279, 434)",524.1940831420557,511.6666666666667,612
40,"(229, 434)",523.1591312684784,508.28395061728395,609
41,"(225, 476)",496.8086238708316,485.69135802469134,613
42,"(275, 477)",504.6208891029941,494.0987654320988,614
43,"(326, 477)",500.68593612740517,496.44444444444446,622
44,"(377, 478)",499.54565004518247,493.75308641975306,620
45,"(427, 478)",501.56996829355074,497.320987654321,622
46,"(478, 479)",510.9199986775861,509.81481481481484,626
47,"(529, 479)",504.3529168673902,507.2962962962963,631
